id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Blinding Lights,The Weeknd,pop,happy,0.80,171,0.75,0.82,0.10
2,Levitating,Dua Lipa,pop,happy,0.82,103,0.91,0.92,0.01
3,As It Was,Harry Styles,pop,happy,0.73,174,0.66,0.80,0.11
4,Stay,The Kid LAROI,pop,happy,0.84,170,0.81,0.75,0.05
5,Heat Waves,Glass Animals,pop,chill,0.54,81,0.73,0.72,0.21
6,Lofi Study Beats,ChilledCow,lofi,chill,0.35,85,0.55,0.55,0.85
7,Rainy Afternoon,Jinsang,lofi,chill,0.30,78,0.50,0.48,0.90
8,Late Night Drive,Idealism,lofi,chill,0.38,72,0.60,0.52,0.88
9,City Lights,Philanthrope,lofi,chill,0.40,80,0.58,0.50,0.82
10,Sunset Study,Kupla,lofi,chill,0.33,76,0.53,0.46,0.91
11,Master of Puppets,Metallica,rock,intense,0.95,212,0.42,0.52,0.02
12,Back in Black,AC/DC,rock,intense,0.88,196,0.55,0.60,0.01
13,Welcome to the Jungle,Guns N Roses,rock,intense,0.93,218,0.50,0.55,0.02
14,Thunderstruck,AC/DC,rock,intense,0.91,204,0.57,0.58,0.01
15,Enter Sandman,Metallica,rock,intense,0.90,208,0.43,0.53,0.02
16,Bohemian Rhapsody,Queen,rock,happy,0.70,144,0.60,0.45,0.20
17,Mr. Brightside,The Killers,rock,intense,0.85,148,0.67,0.65,0.05
18,Smells Like Teen Spirit,Nirvana,rock,intense,0.91,116,0.46,0.61,0.00
19,Shape of You,Ed Sheeran,pop,happy,0.65,96,0.93,0.83,0.08
20,Butter,BTS,pop,happy,0.78,110,0.82,0.85,0.07
21,Watermelon Sugar,Harry Styles,pop,happy,0.82,95,0.94,0.75,0.12
22,good 4 u,Olivia Rodrigo,pop,intense,0.90,166,0.67,0.69,0.03
23,drivers license,Olivia Rodrigo,pop,chill,0.43,93,0.44,0.52,0.52
24,Peach,Jinsang,lofi,chill,0.28,70,0.48,0.44,0.93
25,Snowfall,Øneheart,lofi,chill,0.25,65,0.45,0.40,0.95
